averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
2.27438283,7.07667255,5502.92432,5.502922,450,4,QUADTREE
2.28621149,5.76725054,7808.232,7.80822563,450,8,QUADTREE
2.24179626,4.955565,13172.877,13.1728773,450,16,QUADTREE
2.22494,4.66195059,21990.2148,21.9902172,450,32,QUADTREE
2.288774,5.042127,46149.72,46.14973,450,64,QUADTREE
2.19639,5.639166,71802.94,71.80291,450,128,QUADTREE
2.14928,10.1928234,201665.734,201.665817,450,256,QUADTREE
2.28149581,12.2730713,260734,260.734131,450,512,QUADTREE
2.311923,40.2093658,983140,983.139954,450,1024,QUADTREE
0.6382838,0.7095957,3990.10864,3.990111,500,2,UNIFORMGRID
2.202183,1.00800693,7396.08447,7.396085,500,5,UNIFORMGRID
2.03754568,1.12035608,10829.58,10.8295813,500,10,UNIFORMGRID
2.10353565,1.26212811,14178.9746,14.1789742,500,15,UNIFORMGRID
2.094729,1.71044159,25826.3672,25.8263721,500,25,UNIFORMGRID
2.056732,3.59586215,79305.46,79.30545,500,50,UNIFORMGRID
2.01663733,6.595118,163251.4,163.251389,500,75,UNIFORMGRID
2.02741,18.0578346,480430.875,480.430939,500,150,UNIFORMGRID
2.04989076,36.4939957,999000.063,999,500,300,UNIFORMGRID
2.05073333,47.37027,1304029.5,1304.02966,500,500,UNIFORMGRID
2.08424783,36.42058,999000.063,999,500,1000,UNIFORMGRID
1.94618034,9.83104,3289.816,3.28981543,500,1,QUADTREE
2.02769613,8.353112,3817.08374,3.817083,500,2,QUADTREE
2.0124557,6.70940542,4887.434,4.88743258,500,4,QUADTREE
1.938554,5.615597,7176.014,7.17601,500,8,QUADTREE
2.0221982,4.888099,12817.4023,12.8174057,500,16,QUADTREE
1.80428636,4.53076363,21005.3418,21.0053425,500,32,QUADTREE
2.06183386,4.92573,42587.3633,42.5873528,500,64,QUADTREE
1.97794962,5.490836,69537.38,69.53737,500,128,QUADTREE
1.96371233,8.886818,166565.484,166.565552,500,256,QUADTREE
1.94351935,11.9909592,254184.3,254.184433,500,512,QUADTREE
2.089147,40.1603165,983659.938,983.6602,500,1024,QUADTREE
0.4424661,0.7042656,2903.80469,2.90380478,550,2,UNIFORMGRID
1.74921942,0.924678564,6581.427,6.581427,550,5,UNIFORMGRID
1.91061831,1.091137,10073.1787,10.0731812,550,10,UNIFORMGRID
1.83637547,1.18198872,12625.5039,12.6255045,550,15,UNIFORMGRID
1.82456148,1.53429723,21480.291,21.4802818,550,25,UNIFORMGRID
1.75170112,3.0838747,65184.5547,65.18453,550,50,UNIFORMGRID
1.70206392,5.576028,134593.578,134.593491,550,75,UNIFORMGRID
1.83667314,16.9828281,451507,451.507019,550,150,UNIFORMGRID
1.78221309,34.9983749,955383.063,955.383,550,300,UNIFORMGRID
1.78076088,36.4176025,999000.1,999,550,500,UNIFORMGRID
1.77051485,36.3389,999000.1,999,550,1000,UNIFORMGRID
1.67975235,9.286,2787.324,2.78732419,550,1,QUADTREE
1.693901,7.78553343,3231.61816,3.231619,550,2,QUADTREE
1.68463027,6.39510155,4358.12451,4.3581233,550,4,QUADTREE
1.79591942,5.43491125,6706.271,6.70627165,550,8,QUADTREE
1.62026513,4.722392,12454.1426,12.4541464,550,16,QUADTREE
1.68562937,4.51574755,20858.6016,20.8586025,550,32,QUADTREE
1.651082,4.979838,46614.81,46.6148224,550,64,QUADTREE
1.77290237,5.46042728,68947.85,68.94783,550,128,QUADTREE
1.73459184,11.13439,230197.578,230.1975,550,256,QUADTREE
1.78523517,12.1512814,258639.875,258.639954,550,512,QUADTREE
1.782692,40.1649437,983196.1,983.1963,550,1024,QUADTREE
0.372404784,0.632829845,2750.13574,2.75013566,600,2,UNIFORMGRID
1.75111449,0.945578754,6315.37354,6.31537056,600,5,UNIFORMGRID
1.66443241,1.03899026,9239.229,9.239233,600,10,UNIFORMGRID
1.66235507,1.13491309,11839.9561,11.8399544,600,15,UNIFORMGRID
1.59436786,1.41573679,18789.207,18.7892132,600,25,UNIFORMGRID
1.6461252,2.77898455,57017.93,57.01792,600,50,UNIFORMGRID
1.55389023,5.01033926,120007.453,120.007469,600,75,UNIFORMGRID
1.56394279,14.2639828,377207.375,377.207275,600,150,UNIFORMGRID
1.65853822,33.3911858,908897.6,908.897644,600,300,UNIFORMGRID
1.65470815,36.7528152,999000.063,999,600,500,UNIFORMGRID
1.60568166,36.34635,999000.1,999,600,1000,UNIFORMGRID
1.49622035,8.756907,2529.418,2.52941775,600,1,QUADTREE
1.60567081,7.632767,3089.3623,3.089363,600,2,QUADTREE
1.51536715,6.19659662,4023.432,4.023433,600,4,QUADTREE
1.51771951,5.32094669,6333.584,6.333584,600,8,QUADTREE
1.52763081,4.69081831,12122.2754,12.1222706,600,16,QUADTREE
1.55531943,4.431874,19994.5137,19.9945126,600,32,QUADTREE
1.52451313,4.873643,44660.3359,44.6603432,600,64,QUADTREE
1.54050374,5.45621634,69164.9844,69.16498,600,128,QUADTREE
1.5809257,10.1281652,202574.7,202.574783,600,256,QUADTREE
1.478328,12.04132,256683.047,256.682983,600,512,QUADTREE
1.59666932,40.2155762,985367.3,985.367554,600,1024,QUADTREE
0.410286456,0.642468333,2725.36987,2.72536969,650,2,UNIFORMGRID
1.61792028,0.921617,5837.33252,5.83733034,650,5,UNIFORMGRID
1.63410366,1.04279482,8798.711,8.798714,650,10,UNIFORMGRID
1.50369906,1.09219849,10659.6465,10.659647,650,15,UNIFORMGRID
1.50372887,1.36823058,16858.2129,16.8582134,650,25,UNIFORMGRID
1.39842975,2.812249,51485.9023,51.4859,650,50,UNIFORMGRID
